mission,obsid,physical_source
NuSTAR,30401020012,4u_1728_34
NuSTAR,80001012002,4u_1728_34
NuSTAR,80001012004,4u_1728_34
NuSTAR,90501312002,4u_1728_34
NuSTAR,30363003002,4u_1735_444
NuSTAR,31001011002,4u_1735_444
NuSTAR,30363004002,4u_1746_37
NuSTAR,31101029002,4u_1812_12
NuSTAR,80001034003,aql_x_1
NuSTAR,80001043002,aql_x_1
NuSTAR,90202033002,aql_x_1
NuSTAR,30401013002,cir_x_1
NuSTAR,30602026004,cir_x_1
NuSTAR,30902037004,cir_x_1
NuSTAR,31102015004,cir_x_1
NuSTAR,31102015006,cir_x_1
NuSTAR,10002003001,cyg_x_1
NuSTAR,30001011003,cyg_x_1
NuSTAR,30001011005,cyg_x_1
NuSTAR,30001011007,cyg_x_1
NuSTAR,30001011009,cyg_x_1
NuSTAR,30001011011,cyg_x_1
NuSTAR,30002150002,cyg_x_1
NuSTAR,30002150004,cyg_x_1
NuSTAR,30002150006,cyg_x_1
NuSTAR,30002150008,cyg_x_1
NuSTAR,30101022002,cyg_x_1
NuSTAR,30202032002,cyg_x_1
NuSTAR,30302019002,cyg_x_1
NuSTAR,30302019004,cyg_x_1
NuSTAR,30302019006,cyg_x_1
NuSTAR,30302019008,cyg_x_1
NuSTAR,30302019010,cyg_x_1
NuSTAR,30302019012,cyg_x_1
NuSTAR,30702017002,cyg_x_1
NuSTAR,30702017004,cyg_x_1
NuSTAR,30702017006,cyg_x_1
NuSTAR,80502335002,cyg_x_1
NuSTAR,80502335004,cyg_x_1
NuSTAR,80502335006,cyg_x_1
NuSTAR,80902318002,cyg_x_1
NuSTAR,80902318004,cyg_x_1
NuSTAR,80902318006,cyg_x_1
NuSTAR,90101019002,cyg_x_1
NuSTAR,90101020002,cyg_x_1
NuSTAR,90802013002,cyg_x_1
NuSTAR,90802013004,cyg_x_1
NuSTAR,91201326002,cyg_x_1
NuSTAR,11001313004,cyg_x_2
NuSTAR,11001313006,cyg_x_2
NuSTAR,11001313008,cyg_x_2
NuSTAR,11001313013,cyg_x_2
NuSTAR,11001313014,cyg_x_2
NuSTAR,30001141002,cyg_x_2
NuSTAR,80511301002,cyg_x_2
NuSTAR,80511301004,cyg_x_2
NuSTAR,30801026002,exo_0748_676
NuSTAR,91001324001,exo_0748_676
NuSTAR,91001324002,exo_0748_676
NuSTAR,90601317002,grs_1741_9_2853
NuSTAR,10002004001,grs_1915_105
NuSTAR,10102003002,grs_1915_105
NuSTAR,30102037002,grs_1915_105
NuSTAR,30102037004,grs_1915_105
NuSTAR,30202033002,grs_1915_105
NuSTAR,30202033004,grs_1915_105
NuSTAR,30302018002,grs_1915_105
NuSTAR,30302018004,grs_1915_105
NuSTAR,30302020002,grs_1915_105
NuSTAR,30302020004,grs_1915_105
NuSTAR,30302020006,grs_1915_105
NuSTAR,30302020008,grs_1915_105
NuSTAR,30502008002,grs_1915_105
NuSTAR,30502008004,grs_1915_105
NuSTAR,30502008006,grs_1915_105
NuSTAR,30602008002,grs_1915_105
NuSTAR,30602008004,grs_1915_105
NuSTAR,30802017004,grs_1915_105
NuSTAR,31101004002,grs_1915_105
NuSTAR,80401312002,grs_1915_105
NuSTAR,90001001002,grs_1915_105
NuSTAR,90201053002,grs_1915_105
NuSTAR,90202045002,grs_1915_105
NuSTAR,90202045004,grs_1915_105
NuSTAR,90301001002,grs_1915_105
NuSTAR,90501321002,grs_1915_105
NuSTAR,90501346002,grs_1915_105
NuSTAR,90701323002,grs_1915_105
NuSTAR,90701332002,grs_1915_105
NuSTAR,91201302003,gs_1354_64
NuSTAR,91202311002,gs_1354_64
NuSTAR,91202311006,gs_1354_64
NuSTAR,91202311014,gs_1354_64
NuSTAR,30301003002,gx_13_1
NuSTAR,30101023002,gx_17_2
NuSTAR,30902026004,gx_17_2
NuSTAR,30902026006,gx_17_2
NuSTAR,30902026008,gx_17_2
NuSTAR,91001339002,gx_17_2
NuSTAR,30363001002,gx_3_1
NuSTAR,31001012002,gx_3_1
NuSTAR,80001013002,gx_339_4
NuSTAR,80001013004,gx_339_4
NuSTAR,80001013006,gx_339_4
NuSTAR,80001013007,gx_339_4
NuSTAR,80001013008,gx_339_4
NuSTAR,80001013010,gx_339_4
NuSTAR,80001015003,gx_339_4
NuSTAR,80102011002,gx_339_4
NuSTAR,80102011003,gx_339_4
NuSTAR,80102011004,gx_339_4
NuSTAR,80102011006,gx_339_4
NuSTAR,80102011008,gx_339_4
NuSTAR,80102011010,gx_339_4
NuSTAR,80102011012,gx_339_4
NuSTAR,80302304002,gx_339_4
NuSTAR,80302304004,gx_339_4
NuSTAR,80302304005,gx_339_4
NuSTAR,80302304007,gx_339_4
NuSTAR,80502325002,gx_339_4
NuSTAR,80502325004,gx_339_4
NuSTAR,80502325006,gx_339_4
NuSTAR,80502325008,gx_339_4
NuSTAR,80601302004,gx_339_4
NuSTAR,80601302006,gx_339_4
NuSTAR,80802320002,gx_339_4
NuSTAR,81160302004,gx_339_4
NuSTAR,81160302006,gx_339_4
NuSTAR,90401369002,gx_339_4
NuSTAR,90502356004,gx_339_4
NuSTAR,90101010002,igr_j00291_5934
NuSTAR,30101034002,igr_j17062_6143
NuSTAR,30201018002,igr_j17062_6143
NuSTAR,30801032002,igr_j17062_6143
NuSTAR,90401312002,igr_j17379_3747
NuSTAR,90601333002,igr_j17379_3747
NuSTAR,90901317002,igr_j17498_2921
NuSTAR,90101001002,igr_j17511_3057
NuSTAR,91101304002,igr_j17511_3057
NuSTAR,80301311002,igr_j17591_2342
NuSTAR,90401331002,igr_j17591_2342
NuSTAR,30001143002,lmc_x_1
NuSTAR,30201029001,lmc_x_1
NuSTAR,30201029002,lmc_x_1
NuSTAR,90801324002,lmc_x_1
NuSTAR,10601308001,lmc_x_3
NuSTAR,10601308002,lmc_x_3
NuSTAR,10601308003,lmc_x_3
NuSTAR,10601308004,lmc_x_3
NuSTAR,30101052002,lmc_x_3
NuSTAR,30402035002,lmc_x_3
NuSTAR,30402035004,lmc_x_3
NuSTAR,30402035006,lmc_x_3
NuSTAR,30402035007,lmc_x_3
NuSTAR,30402035008,lmc_x_3
NuSTAR,30802016002,lmc_x_3
NuSTAR,30802016004,lmc_x_3
NuSTAR,30802016006,lmc_x_3
NuSTAR,30802016008,lmc_x_3
NuSTAR,30902041002,lmc_x_3
NuSTAR,30902041003,lmc_x_3
NuSTAR,30902041004,lmc_x_3
NuSTAR,30902041005,lmc_x_3
NuSTAR,30902041006,lmc_x_3
NuSTAR,31002032001,lmc_x_3
NuSTAR,31002032002,lmc_x_3
NuSTAR,31002032004,lmc_x_3
NuSTAR,31002032006,lmc_x_3
NuSTAR,90801315001,maxi_j1816_195
NuSTAR,90401309002,maxi_j1820_070
NuSTAR,90401309004,maxi_j1820_070
NuSTAR,90401309006,maxi_j1820_070
NuSTAR,90401309008,maxi_j1820_070
NuSTAR,90401309010,maxi_j1820_070
NuSTAR,90401309012,maxi_j1820_070
NuSTAR,90401309013,maxi_j1820_070
NuSTAR,90401309014,maxi_j1820_070
NuSTAR,90401309016,maxi_j1820_070
NuSTAR,90401309018,maxi_j1820_070
NuSTAR,90401309019,maxi_j1820_070
NuSTAR,90401309021,maxi_j1820_070
NuSTAR,90401309025,maxi_j1820_070
NuSTAR,90401309026,maxi_j1820_070
NuSTAR,90401309027,maxi_j1820_070
NuSTAR,90401309029,maxi_j1820_070
NuSTAR,90401309031,maxi_j1820_070
NuSTAR,90401309033,maxi_j1820_070
NuSTAR,90401309035,maxi_j1820_070
NuSTAR,90401309037,maxi_j1820_070
NuSTAR,90401309039,maxi_j1820_070
NuSTAR,90401324002,maxi_j1820_070
NuSTAR,90501311002,maxi_j1820_070
NuSTAR,90501320002,maxi_j1820_070
NuSTAR,90501337002,maxi_j1820_070
NuSTAR,90501337004,maxi_j1820_070
NuSTAR,80701312002,sax_j1808_4_3658
NuSTAR,81101346002,sax_j1808_4_3658
NuSTAR,90102003002,sax_j1808_4_3658
NuSTAR,90102003004,sax_j1808_4_3658
NuSTAR,90102003006,sax_j1808_4_3658
NuSTAR,90501335002,sax_j1808_4_3658
NuSTAR,91101333004,sax_j1808_4_3658
NuSTAR,30601007002,slx_1735_269
NuSTAR,30001013002,ser_x_1
NuSTAR,30001013004,ser_x_1
NuSTAR,30301021002,ser_x_1
NuSTAR,30901004002,ser_x_1
NuSTAR,30001010003,v404_cyg
NuSTAR,30001010005,v404_cyg
NuSTAR,90102007002,v404_cyg
NuSTAR,90102007003,v404_cyg
NuSTAR,90102007005,v404_cyg
NuSTAR,90102007009,v404_cyg
NuSTAR,90102007011,v404_cyg
NuSTAR,90102007013,v404_cyg
NuSTAR,90102007015,v404_cyg
NuSTAR,80002012004,v4641_sgr
NuSTAR,90102011002,v4641_sgr
NuSTAR,90802322002,xte_j1701_462
NuSTAR,90901311002,xte_j1701_462
NuSTAR,90501343002,xte_j1739_285
NuSTAR,90601307002,xte_j1739_285
NuSTAR,91201339002,xte_j1739_285
NuSTAR,90701305002,xte_j1859_226
