cohort,model,source_id,source_name,true_class,native_state_label,observations,mean_p_NS,median_p_NS,min_p_NS,max_p_NS,fraction_correct
HEASOFT_VALIDATION,logistic,sax_j1810_8_2609,SAX J1810.8-2609,NS,NS_LOW_HARD,5,0.5460908515855809,0.5340929482006384,0.5177272363068381,0.5989136627531625,1.0
HEASOFT_VALIDATION,logistic,ser_x_1,Ser X-1,NS,NS_ATOLL_BANANA,1,0.743299140564855,0.743299140564855,0.743299140564855,0.743299140564855,1.0
HEASOFT_VALIDATION,logistic,ser_x_1,Ser X-1,NS,NS_ATOLL_UPPER_BANANA,1,0.78853176324118,0.78853176324118,0.78853176324118,0.78853176324118,1.0
HEASOFT_VALIDATION,logistic,v4641_sgr,V4641 Sgr,BH,BH_LOW_HARD,2,0.3395863970775143,0.3395863970775143,0.2157649347100585,0.4634078594449701,1.0
HEASOFT_VALIDATION,logistic,xte_j1118_480,XTE J1118+480,BH,BH_LOW_HARD,7,0.512615625829308,0.4893622623448739,0.3980779133670787,0.6239839944808496,0.5714285714285714
HEASOFT_VALIDATION,logistic,xte_j1550_564,XTE J1550-564,BH,BH_LOW_HARD,1,0.0564374046114921,0.0564374046114921,0.0564374046114921,0.0564374046114921,1.0
HEASOFT_VALIDATION,logistic,xte_j1859_226,XTE J1859+226,BH,BH_SOFT_INTERMEDIATE,1,0.5824274059844234,0.5824274059844234,0.5824274059844234,0.5824274059844234,0.0
PRIMARY_29,forest,1a_1744_361,1A 1744-361,NS,NS_ATOLL_AHB_LOW_HARD,1,0.873307340774951,0.873307340774951,0.873307340774951,0.873307340774951,1.0
PRIMARY_29,forest,1a_1744_361,1A 1744-361,NS,NS_ATOLL_BANANA,6,0.9275764651053852,0.9233845196861101,0.9142154131087484,0.957624182344194,1.0
PRIMARY_29,forest,4u_1543_475,4U 1543-475,BH,BH_HARD,2,0.7916189644865539,0.7916189644865539,0.760194398626719,0.8230435303463888,0.0
PRIMARY_29,forest,4u_1543_475,4U 1543-475,BH,BH_THERMAL_DOMINANT,8,0.6625814617080072,0.7491249657831622,0.0732511797511797,0.930028227891762,0.25
PRIMARY_29,forest,4u_1608_522,4U 1608-522,NS,NS_ATOLL_ISLAND,1,0.9069479565053014,0.9069479565053014,0.9069479565053014,0.9069479565053014,1.0
PRIMARY_29,forest,gs_1354_64,GS 1354-64,BH,BH_LOW_HARD,7,0.4810289766874081,0.6908162589370592,0.0533086890760977,0.7601427178256198,0.42857142857142855
PRIMARY_29,forest,gx_339_4,GX 339-4,BH,BH_HIGH_SOFT,1,0.5083158477348487,0.5083158477348487,0.5083158477348487,0.5083158477348487,0.0
PRIMARY_29,forest,ks_1731_260,KS 1731-260,NS,NS_ATOLL_BANANA,9,0.9553989135217815,0.9592132500193536,0.9399348390568169,0.9592132500193536,1.0
PRIMARY_29,forest,ks_1731_260,KS 1731-260,NS,NS_ATOLL_ISLAND,3,0.653301837186837,0.6585999222124346,0.6261147986686041,0.6751907906794721,1.0
PRIMARY_29,forest,sax_j1810_8_2609,SAX J1810.8-2609,NS,NS_LOW_HARD,20,0.7914638173876855,0.791914041069094,0.717647198937588,0.8416678029620384,1.0
PRIMARY_29,forest,ser_x_1,Ser X-1,NS,NS_ATOLL_BANANA,2,0.9486486630199711,0.9486486630199711,0.9474985108219988,0.9497988152179434,1.0
PRIMARY_29,forest,ser_x_1,Ser X-1,NS,NS_ATOLL_UPPER_BANANA,1,0.9422172942285952,0.9422172942285952,0.9422172942285952,0.9422172942285952,1.0
PRIMARY_29,forest,v4641_sgr,V4641 Sgr,BH,BH_LOW_HARD,2,0.4023558665337381,0.4023558665337381,0.1077370287314325,0.6969747043360437,0.5
PRIMARY_29,forest,xte_j1118_480,XTE J1118+480,BH,BH_LOW_HARD,22,0.8275281237246215,0.8285376332396402,0.7520696504575625,0.8968042552680204,0.0
PRIMARY_29,forest,xte_j1550_564,XTE J1550-564,BH,BH_LOW_HARD,2,0.5052494625172875,0.5052494625172875,0.2778543417366946,0.7326445832978805,0.5
PRIMARY_29,forest,xte_j1859_226,XTE J1859+226,BH,BH_SOFT_INTERMEDIATE,3,0.884393624515432,0.8814653856383695,0.8797206175001705,0.8919948704077559,0.0
PRIMARY_29,logistic,1a_1744_361,1A 1744-361,NS,NS_ATOLL_AHB_LOW_HARD,1,0.7843037536685703,0.7843037536685703,0.7843037536685703,0.7843037536685703,1.0
PRIMARY_29,logistic,1a_1744_361,1A 1744-361,NS,NS_ATOLL_BANANA,6,0.8908942991803389,0.8864242846702568,0.8718266931149405,0.9303419795913758,1.0
PRIMARY_29,logistic,4u_1543_475,4U 1543-475,BH,BH_HARD,2,0.7671453864856537,0.7671453864856537,0.7478824373421306,0.7864083356291767,0.0
PRIMARY_29,logistic,4u_1543_475,4U 1543-475,BH,BH_THERMAL_DOMINANT,8,0.5366319950331219,0.7078256794092074,0.165162692847215,0.752598655551952,0.375
PRIMARY_29,logistic,4u_1608_522,4U 1608-522,NS,NS_ATOLL_ISLAND,1,0.8080108825364888,0.8080108825364888,0.8080108825364888,0.8080108825364888,1.0
PRIMARY_29,logistic,gs_1354_64,GS 1354-64,BH,BH_LOW_HARD,7,0.47482626775611514,0.4875067067637009,0.3159492079506262,0.6338123454502703,0.5714285714285714
PRIMARY_29,logistic,gx_339_4,GX 339-4,BH,BH_HIGH_SOFT,1,0.7754064631275872,0.7754064631275872,0.7754064631275872,0.7754064631275872,0.0
PRIMARY_29,logistic,ks_1731_260,KS 1731-260,NS,NS_ATOLL_BANANA,9,0.9387551361059582,0.9369291842631,0.9193371366761264,0.9661076651793484,1.0
PRIMARY_29,logistic,ks_1731_260,KS 1731-260,NS,NS_ATOLL_ISLAND,3,0.6609640923625478,0.6651350000480339,0.6498766992065568,0.6678805778330527,1.0
PRIMARY_29,logistic,sax_j1810_8_2609,SAX J1810.8-2609,NS,NS_LOW_HARD,20,0.737653341584582,0.7334983505543806,0.7057137083550726,0.7968436736993151,1.0
PRIMARY_29,logistic,ser_x_1,Ser X-1,NS,NS_ATOLL_BANANA,2,0.934855626579971,0.934855626579971,0.932605128705856,0.937106124454086,1.0
PRIMARY_29,logistic,ser_x_1,Ser X-1,NS,NS_ATOLL_UPPER_BANANA,1,0.9655752950220508,0.9655752950220508,0.9655752950220508,0.9655752950220508,1.0
PRIMARY_29,logistic,v4641_sgr,V4641 Sgr,BH,BH_LOW_HARD,2,0.4963039991761977,0.4963039991761977,0.338071387552787,0.6545366107996085,0.5
PRIMARY_29,logistic,xte_j1118_480,XTE J1118+480,BH,BH_LOW_HARD,22,0.7324536058931467,0.7190898412321911,0.5279537278047436,0.8605828745848774,0.0
PRIMARY_29,logistic,xte_j1550_564,XTE J1550-564,BH,BH_LOW_HARD,2,0.3205104898250479,0.3205104898250479,0.0432861151021033,0.5977348645479924,0.5
PRIMARY_29,logistic,xte_j1859_226,XTE J1859+226,BH,BH_SOFT_INTERMEDIATE,3,0.6605984900152194,0.6824871478529767,0.5989071282232451,0.7004011939694365,0.0
