rxte_obsid,source_id,canonical_source,archive_target_name,reference_class,class_label,proposal_id,cycle,observation_start,duration,exposure,archive_identifier,mapping_method,mapping_confidence,separation_deg,ra,dec,archive_status,status,query_record,notes,selection_method,inspection_sample
50031-01-01-01,4u_0614_09,4U 0614+09,4U_0614+09,NS,NS,50031,5,51790.25249,15304.0,8987.0,AO5/P50031/50031-01-01-01,explicit_designation_and_independent_catalog_position,high,0.0006157888219194,94.28,9.137,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_4u_0614_09.json,,chronological_even_rank_cap32_v1,False
50031-01-02-07,4u_0614_09,4U 0614+09,4U_0614+09,NS,NS,50031,5,51842.37052,3445.0,2454.0,AO5/P50031/50031-01-02-07,explicit_designation_and_independent_catalog_position,high,0.0006157888219194,94.28,9.137,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_4u_0614_09.json,,chronological_even_rank_cap32_v1,False
50026-02-01-01,4u_0614_09,4U 0614+09,4U0614+091,NS,NS,50026,5,51981.6493,2718.0,1497.0,AO5/P50026/50026-02-01-01,explicit_designation_and_independent_catalog_position,high,0.0016008471105845,94.279,9.137,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_4u_0614_09.json,,chronological_even_rank_cap32_v1,False
50031-01-04-08,4u_0614_09,4U 0614+09,4U_0614+09,NS,NS,50031,5,52055.27846,3852.0,3118.0,AO5/P50031/50031-01-04-08,explicit_designation_and_independent_catalog_position,high,0.0006157888219194,94.28,9.137,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_4u_0614_09.json,,chronological_even_rank_cap32_v1,False
60424-01-02-01,4u_0614_09,4U 0614+09,4U_0614+09,NS,NS,60424,6,52316.4805,5474.0,3427.0,AO6/P60424/60424-01-02-01,explicit_designation_and_independent_catalog_position,high,0.0006157888219194,94.28,9.137,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_4u_0614_09.json,,chronological_even_rank_cap32_v1,False
80414-01-02-00,4u_0614_09,4U 0614+09,4U_0614+09,NS,NS,80414,8,52776.32149,9296.0,5822.0,AO8/P80414/80414-01-02-00,explicit_designation_and_independent_catalog_position,high,0.0006157888219194,94.28,9.137,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_4u_0614_09.json,,chronological_even_rank_cap32_v1,False
80414-01-05-02,4u_0614_09,4U 0614+09,4U_0614+09,NS,NS,80414,8,52918.98035,6430.0,2760.0,AO8/P80414/80414-01-05-02,explicit_designation_and_independent_catalog_position,high,0.0006157888219194,94.28,9.137,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_4u_0614_09.json,,chronological_even_rank_cap32_v1,False
80051-02-01-02,4u_0614_09,4U 0614+09,4U_0614+09,NS,NS,80051,8,53024.4165,17284.0,10168.0,AO8/P80051/80051-02-01-02,explicit_designation_and_independent_catalog_position,high,0.0006157888219194,94.28,9.137,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_4u_0614_09.json,,chronological_even_rank_cap32_v1,False
80037-01-07-04,4u_0614_09,4U 0614+09,4U_0614+09,NS,NS,80037,8,53084.55896,3701.0,2287.0,AO8/P80037/80037-01-07-04,explicit_designation_and_independent_catalog_position,high,0.0006157888219194,94.28,9.137,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_4u_0614_09.json,,chronological_even_rank_cap32_v1,False
80037-01-09-08,4u_0614_09,4U 0614+09,4U_0614+09,NS,NS,80037,8,53126.07272,2615.0,1233.0,AO8/P80037/80037-01-09-08,explicit_designation_and_independent_catalog_position,high,0.0006157888219194,94.28,9.137,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_4u_0614_09.json,,chronological_even_rank_cap32_v1,False
